currency,scenario,option_tenor,swap_tenor,market_price,model_price
USD,base,10.0,1.0,0.00045902109277282577,0.0006526790805161883
USD,base,9.0,2.0,0.0010451173445281642,0.0012292705457564723
USD,base,8.0,3.0,0.0015762498861805888,0.0017488736161927235
USD,base,7.0,4.0,0.0020454312785116507,0.0022047977398306187
USD,base,6.0,5.0,0.002506758627599685,0.002591805815342779
USD,base,5.0,6.0,0.0028268854633631733,0.0028982799525796464
USD,base,4.0,7.0,0.0030583387537446933,0.0030583387522443656
USD,base,3.0,8.0,0.003169305283518613,0.0031164958534776284
USD,base,2.0,9.0,0.003004675012077573,0.00295635296676465
USD,base,1.0,10.0,0.0025641364508286585,0.002344295512549004
USD,up,10.0,1.0,0.0005357887698574017,0.0007689553618764816
USD,up,9.0,2.0,0.001229924177474503,0.001454103463833329
USD,up,8.0,3.0,0.0018732747790109056,0.0020759215981445748
USD,up,7.0,4.0,0.0024569038964501683,0.0026329233416262352
USD,up,6.0,5.0,0.003044573739715799,0.003122125655289062
USD,up,5.0,6.0,0.0034726571293412474,0.003531564127177869
USD,up,4.0,7.0,0.0037995885858921018,0.003799588585873507
USD,up,3.0,8.0,0.003983584085344987,0.003941607753932111
USD,up,2.0,9.0,0.003822483583151886,0.0038202484201495567
USD,up,1.0,10.0,0.0033025396937935328,0.003137270446713549
USD,down,10.0,1.0,0.0003158980299413291,0.00044536302363888544
USD,down,9.0,2.0,0.0007157724706156104,0.0008247030198546116
USD,down,8.0,3.0,0.0010701551306627258,0.0011612275739775221
USD,down,7.0,4.0,0.001374159336879497,0.0014477131583870598
USD,down,6.0,5.0,0.00166523582596404,0.0016814794068282437
USD,down,5.0,6.0,0.0018561039843585391,0.0018561040086588576
USD,down,4.0,7.0,0.001985973475483549,0.001908198823845886
USD,down,3.0,8.0,0.002034131447734756,0.0019130088774631563
USD,down,2.0,9.0,0.0019046858814474362,0.0017806955551423493
USD,down,1.0,10.0,0.0016047635390551717,0.001351004319233169
USD,steepener,10.0,1.0,0.0004215099192527134,0.000548150732966927
USD,steepener,9.0,2.0,0.0009026586065389517,0.0010483408166124032
USD,steepener,8.0,3.0,0.0013306839083717578,0.0014196571893711559
USD,steepener,7.0,4.0,0.001720036567128255,0.001720034475355396
USD,steepener,6.0,5.0,0.002115279455759349,0.0019634439366414567
USD,steepener,5.0,6.0,0.0024027314392186683,0.0021563961832232687
USD,steepener,4.0,7.0,0.002587068597789364,0.0025870700657346104
USD,steepener,3.0,8.0,0.002688814058310219,0.002673750253098152
USD,steepener,2.0,9.0,0.002582409677792483,0.0026423424030156046
USD,steepener,1.0,10.0,0.002242067229313532,0.0027725187256756817
USD,flatten,10.0,1.0,0.0004975310451697164,0.0009765784187868722
USD,flatten,9.0,2.0,0.0011807930491954035,0.0016714652644291735
USD,flatten,8.0,3.0,0.0018103021750279949,0.0022524982230361606
USD,flatten,7.0,4.0,0.002360681435434705,0.0027235659355230356
