currency,scenario,alpha,sigma,iterations,error
USD,base,0.13396051097090086,0.0015074102294807175,175,0.0011872154723962308
USD,up,0.16521565249140943,0.002429338441169589,186,0.0011819517976113104
USD,down,0.12913469865535665,0.0008202234962321796,172,0.0009959121809597913
USD,steepener,0.27527494518919937,0.0017627144484706756,105,0.0013649186664157983
USD,flatten,0.32919366591684956,0.004042559592157909,183,0.0027042459773938183
USD,short_up,0.30633892502879173,0.00223089776513572,111,0.001665662351346491
USD,short_down,0.4137985597613447,0.004420633288946362,182,0.003182000952226028
USD,vol_shift,0.12961316904249037,0.001642996068854948,174,0.0012330999750537457
EUR,base,0.0942675149699328,0.0004200950363263441,151,0.0006420036732244183
EUR,up,0.11582139230198188,0.0007591104866497901,169,0.000817297769222693
EUR,down,0.1235380632613014,0.00015527534663899444,180,0.00032038154627206947
EUR,steepener,0.5760916471387085,0.00096491998723327,90,0.0008461813249339919
EUR,flatten,0.5350571822827452,0.0025673605343363506,123,0.0020604466489690873
EUR,short_up,0.5950014092691239,0.0012800794969714609,107,0.001039833095794479
EUR,short_down,1.609481771922824,0.009918049740536684,293,0.0021522250636565442
EUR,vol_shift,0.0876749389476842,0.000496412800791198,183,0.0006827642796390545
HKD,base,0.16684676177667607,0.0009011618807153805,199,0.0008369997616885776
HKD,up,0.19005847829041878,0.0013978233654540248,193,0.0008477387284688612
HKD,down,0.17650514161094505,0.0005205777035069022,198,0.0007045676554515531
HKD,steepener,0.4764184175806674,0.0015497827813538883,152,0.0010609645950842728
HKD,flatten,0.5118504898139025,0.003457401642332099,179,0.0020488377762424024
HKD,short_up,0.5274611296175594,0.0020060158831536603,138,0.0012796751514645758
HKD,short_down,0.7625794885379041,0.005202737451357966,262,0.0023368190722531396
HKD,vol_shift,0.1549461945341736,0.0010360576487574145,191,0.0008890911816067182
JPY,base,0.23354163714118936,0.0004544132585646422,121,0.0004130345385134097
JPY,up,0.15131919615485828,0.0006255269624007002,129,0.0004320973106452455
JPY,down,0.6802525823065464,0.00019994777791076544,121,0.0002352154034302814
JPY,steepener,0.9914245650876066,0.0012952275498321433,199,0.0008355851157868191
JPY,flatten,0.44172621386252064,0.0016297977422867383,190,0.0016691237853792707
JPY,short_up,0.9218086350388967,0.0016224688595017616,165,0.0010418201409907097
JPY,short_down,1.1973787805626182,0.005154981390185841,361,0.0018249701852745704
JPY,vol_shift,0.20626259372733236,0.0005266493834167645,119,0.00044735966159286354
